category,dataset,n_trajectories_with_error,n_trajectories_total,p_trajectory,p_traj_ci_lower,p_traj_ci_upper,total_steps,p_message,p_msg_ci_lower,p_msg_ci_upper,step_mean,step_median,step_std,step_p25,step_p75,step_p90,step_p95,step_n
tool_web_failure,nebius,26379,80036,0.329589,0.326341,0.332854,4311283,0.02246895,0.02232948,0.02260927,19.41,14.0,29.86,8.0,24.0,36.0,48.0,26379
resource_not_found,nebius,33565,80036,0.419374,0.415959,0.422796,4311283,0.04972719,0.0495224,0.04993279,13.19,10.0,12.01,6.0,16.0,26.0,36.0,33565
tool_timeout,itbench,80,105,0.761905,0.672111,0.83321,19292,0.09428779,0.09024445,0.09849267,45.16,47.5,29.34,17.75,61.25,76.50000000000004,91.29999999999998,80
permission_error,terminalbench,267,52104,0.005124,0.004547,0.005775,1622075,0.00040874,0.00037879,0.00044105,18.52,11.0,20.95,8.0,19.0,42.0,58.0,267
memory_error,terminalbench,1750,52104,0.033587,0.032074,0.035168,1622075,0.01244332,0.01227388,0.01261508,20.38,10.0,32.82,2.0,26.0,50.0,73.0,1750
