distribution,scale,k,log_lik,AIC,BIC,DeltaAIC,RMSE_quantiles,MaxAE,MAPE,KS_to_empirical,note
ShiftedBeta,normalized,4,2235.16,-4462.31,-4429.59,0.0,0.006894,0.0144,2.5143,0.018449,
LogNormal,absolute,3,-28174.41,56354.82,56379.36,0.0,582961.839221,1748879.6288,541782.4858,0.464318,
Beta,normalized,2,2102.05,-4200.09,-4183.73,262.22,0.008081,0.0175,3.2515,0.02177,
TruncNorm,normalized,2,1497.18,-2990.35,-2973.99,1471.96,0.06471,0.0884,20.5794,0.088532,
ShiftedLogNormal,absolute,3,-81756.61,163519.23,163543.77,107164.41,191.528927,572.5322,239.9427,0.44761,
Mix2Exp,absolute,5,-99394.99,198799.97,198840.87,142445.15,,,,,смесь
ShiftedExp,absolute,2,-101739.56,203483.12,203499.48,147128.3,2.620805,6.0798,17.5784,0.148029,
Gamma,absolute,3,-294084.1,588174.2,588198.74,531819.38,17.342825,33.9286,75.7834,0.845729,
Weibull,absolute,3,-inf,inf,inf,inf,2.692295,5.9347,20.0151,0.148029,
